run_utc	candidate_id	claim_text	claim_type	asserted_by	first_seen_date	proposed_status	confidence	topic_id	evidence_doc_id	evidence_url	rationale
20260215T171141Z	candidate-500ceee24cf3463e	Court record 'Giuffre v. Maxwell' is indexed with filing date 2016-02-29.	procedural	CourtListener	2016-02-29	pending_review	0.68	court_and_litigation	doc-courtlistener-91fb18783934	https://www.courtlistener.com/opinion/7318626/giuffre-v-maxwell/	Primary court index record
20260215T171141Z	candidate-bc61afdec9e9b373	Court record 'Giuffre v. Maxwell' is indexed with filing date 2016-11-21.	procedural	CourtListener	2016-11-21	pending_review	0.68	court_and_litigation	doc-courtlistener-0baf3159397f	https://www.courtlistener.com/opinion/7322971/giuffre-v-maxwell/	Primary court index record
20260215T171141Z	candidate-3273b43aebe081da	Court record 'Giuffre v. Maxwell' is indexed with filing date 2018-08-27.	procedural	CourtListener	2018-08-27	pending_review	0.68	court_and_litigation	doc-courtlistener-26b97f011ccc	https://www.courtlistener.com/opinion/7331533/giuffre-v-maxwell/	Primary court index record
20260215T171141Z	candidate-3dd966b4d6a26885	Court record 'Brown v. Maxwell Dershowitz v. Giuffre' is indexed with filing date 2019-07-03.	procedural	CourtListener	2019-07-03	pending_review	0.68	court_and_litigation	doc-courtlistener-024c3511ac6a	https://www.courtlistener.com/opinion/4636326/brown-v-maxwell-dershowitz-v-giuffre/	Primary court index record
20260215T171141Z	candidate-831cd52196c91cc6	Congressional Record entry 'Jeffrey Epstein (Executive Session)' appears with date 2019-07-09.	timeline	US Congress	2019-07-09	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-a8f202600243	https://www.govinfo.gov/content/pkg/CREC-2019-07-09/html/CREC-2019-07-09-pt1-PgS4708-3.htm	Primary congressional transcript
20260215T171141Z	candidate-d9b2ad713e42d373	Court record 'United States v. Maxwell' is indexed with filing date 2024-09-17.	procedural	CourtListener	2024-09-17	pending_review	0.68	court_and_litigation	doc-courtlistener-176880d5475c	https://www.courtlistener.com/opinion/10119519/united-states-v-maxwell/	Primary court index record
20260215T171141Z	candidate-72d65325058ef279	Congressional Record entry 'Jeffrey Epstein (Executive Calendar)' appears with date 2025-02-05.	timeline	US Congress	2025-02-05	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-06ad6deaa89c	https://www.govinfo.gov/content/pkg/CREC-2025-02-05/html/CREC-2025-02-05-pt1-PgS609.htm	Primary congressional transcript
20260215T171141Z	candidate-5eb867b947817301	DOJ OPA published 'Attorney General Pamela Bondi releases first phase of declassified Epstein files' on 2025-02-27.	procedural	DOJ OPA	2025-02-27	pending_review	0.80	doj_release_operations	doc-doj-opa-first-phase	https://www.justice.gov/opa/pr/attorney-general-pamela-bondi-releases-first-phase-declassified-epstein-files	Primary agency release record
20260215T171141Z	candidate-fb8cb47e089ecb45	GovTrack records 'Epstein Files Transparency Act (H.R. 4405) - GovTrack.us' with document date 2025-07-15.	legal	GovTrack	2025-07-15	pending_review	0.76	transparency_legislation	doc-govtrack-hr4405	https://www.govtrack.us/congress/bills/119/hr4405	Primary congressional bill record
20260215T171141Z	candidate-b4a38da6b7fbf324	GovTrack logs a bill action on 2025-07-15: Introduced.	procedural	GovTrack	2025-07-15	pending_review	0.75	transparency_legislation	doc-govtrack-action-01-19481d7c69e0	https://www.govtrack.us/congress/bills/119/hr4405#status-row-grid	Primary bill action history
20260215T171141Z	candidate-1fd1394bf5fe3c73	Congressional Record entry 'RELEASE THE EPSTEIN FILES' appears with date 2025-07-16.	timeline	US Congress	2025-07-16	pending_review	0.70	unsealing_and_access	doc-govinfo-transcript-3a3036445819	https://www.govinfo.gov/content/pkg/CREC-2025-07-16/html/CREC-2025-07-16-pt1-PgH3324-2.htm	Primary congressional transcript
20260215T171141Z	candidate-879c2e401fc323ec	Congressional Record entry 'Jeffrey Epstein (Executive Session)' appears with date 2025-07-17.	timeline	US Congress	2025-07-17	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-2907b4a49c3e	https://www.govinfo.gov/content/pkg/CREC-2025-07-17/html/CREC-2025-07-17-pt1-PgS4440-3.htm	Primary congressional transcript
20260215T171141Z	candidate-6019af3a80746ab6	Court record 'Giuffre v. Maxwell' is indexed with filing date 2025-07-23.	procedural	CourtListener	2025-07-23	pending_review	0.68	court_and_litigation	doc-courtlistener-a162b75715cf	https://www.courtlistener.com/opinion/10639374/giuffre-v-maxwell/	Primary court index record
20260215T171141Z	candidate-75cc1546f1ee22b2	Congressional Record entry 'Jeffrey Epstein (Executive Session)' appears with date 2025-07-24.	timeline	US Congress	2025-07-24	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-3a1bb17f6c87	https://www.govinfo.gov/content/pkg/CREC-2025-07-24/html/CREC-2025-07-24-pt1-PgS4687-9.htm	Primary congressional transcript
20260215T171141Z	candidate-3eb4be08ef078b0b	Congressional Record entry 'Jeffrey Epstein (Executive Session)' appears with date 2025-07-30.	timeline	US Congress	2025-07-30	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-b86d98d3e693	https://www.govinfo.gov/content/pkg/CREC-2025-07-30/html/CREC-2025-07-30-pt1-PgS4858-2.htm	Primary congressional transcript
20260215T171141Z	candidate-52ac93767f5ff5aa	Congressional Record entry 'Jeffrey Epstein (Executive Calendar)' appears with date 2025-08-02.	timeline	US Congress	2025-08-02	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-9f68ddb1066b	https://www.govinfo.gov/content/pkg/CREC-2025-08-02/html/CREC-2025-08-02-pt1-PgS5502-3.htm	Primary congressional transcript
20260215T171141Z	candidate-14f0cecd1d7f4e34	Congressional Record entry 'COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM EPSTEIN INVESTIGATION' appears with date 2025-09-03.	timeline	US Congress	2025-09-03	pending_review	0.70	congressional_oversight	doc-govinfo-transcript-db958ed50987	https://www.govinfo.gov/content/pkg/CREC-2025-09-03/html/CREC-2025-09-03-pt1-PgH3780.htm	Primary congressional transcript
20260215T171141Z	candidate-4f4d28129210ccea	Congressional Record entry 'Jeffrey Epstein (Executive Session)' appears with date 2025-09-09.	timeline	US Congress	2025-09-09	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-b66bdb2e75c0	https://www.govinfo.gov/content/pkg/CREC-2025-09-09/html/CREC-2025-09-09-pt1-PgS6445-2.htm	Primary congressional transcript
20260215T171141Z	candidate-769eaae36807db33	Congressional Record entry 'A LETTER FROM SURVIVORS OF JEFFREY EPSTEIN AND GHISLAINE MAXWELL' appears with date 2025-09-18.	timeline	US Congress	2025-09-18	pending_review	0.70	victim_and_survivor_issues	doc-govinfo-transcript-a611ef03043f	https://www.govinfo.gov/content/pkg/CREC-2025-09-18/html/CREC-2025-09-18-pt1-PgH4420-3.htm	Primary congressional transcript
20260215T171141Z	candidate-a99f0be7809b1557	GovInfo provides a Public Law reference 'Pub. L. 119-38' for Epstein transparency legislation.	legal	GovInfo	2025-11-19	pending_review	0.83	transparency_legislation	doc-govinfo-pl119-38	https://www.govinfo.gov/link/plaw/119/public/38	Primary public law link
20260215T171141Z	candidate-e2067d4350f0da05	Congressional Record entry 'JEFFREY EPSTEIN' appears with date 2025-12-16.	timeline	US Congress	2025-12-16	pending_review	0.70	unclassified_epstein_records	doc-govinfo-transcript-87369a54eb87	https://www.govinfo.gov/content/pkg/CREC-2025-12-16/html/CREC-2025-12-16-pt1-PgS8750.htm	Primary congressional transcript
20260215T171141Z	candidate-8b31d0e0310ad775	RECAP docket document 'Maxwell v. United States - Exhibit 3' is available with filing date 2025-12-17.	procedural	CourtListener RECAP	2025-12-17	pending_review	0.66	court_and_litigation	doc-recap-4320e95df51d	https://www.courtlistener.com/docket/72049470/1/3/maxwell-v-united-states/	Primary PACER/RECAP docket record
20260215T171141Z	candidate-7da9fcf1cd38dfe8	RECAP docket document 'Maxwell v. United States - Exhibit 6' is available with filing date 2025-12-17.	procedural	CourtListener RECAP	2025-12-17	pending_review	0.66	court_and_litigation	doc-recap-00986069822e	https://www.courtlistener.com/docket/72049470/1/6/maxwell-v-united-states/	Primary PACER/RECAP docket record
20260215T171141Z	candidate-e2ef029c2e1535a4	RECAP docket document 'Maxwell v. United States - Motion to Vacate/Set Aside/Correct Sentence (2255)' is available with filing date 2025-12-17.	procedural	CourtListener RECAP	2025-12-17	pending_review	0.66	court_and_litigation	doc-recap-b7927f87d53a	https://www.courtlistener.com/docket/72049470/1/maxwell-v-united-states/	Primary PACER/RECAP docket record
20260215T171141Z	candidate-45438c7dbc0e78f5	Congressional Record entry 'Jeffrey Epstein (Executive Session)' appears with date 2026-01-06.	timeline	US Congress	2026-01-06	pending_review	0.70	congressional_record_activity	doc-govinfo-transcript-748ff468f3e8	https://www.govinfo.gov/content/pkg/CREC-2026-01-06/html/CREC-2026-01-06-pt1-PgS21.htm	Primary congressional transcript
20260215T171141Z	candidate-456532a115ebd021	RECAP docket document 'Doe v. Estate of Jeffrey Epstein - Civil Cover Sheet' is available with filing date 2026-01-22.	procedural	CourtListener RECAP	2026-01-22	pending_review	0.66	court_and_litigation	doc-recap-f4a2eb2288d2	https://www.courtlistener.com/docket/72177563/1/1/doe-v-estate-of-jeffrey-epstein/	Primary PACER/RECAP docket record
20260215T171141Z	candidate-0eff99dfa8935530	RECAP docket document 'Doe v. Estate of Jeffrey Epstein - Summon(s)' is available with filing date 2026-01-22.	procedural	CourtListener RECAP	2026-01-22	pending_review	0.66	court_and_litigation	doc-recap-483f952e3953	https://www.courtlistener.com/docket/72177563/1/3/doe-v-estate-of-jeffrey-epstein/	Primary PACER/RECAP docket record
20260215T171141Z	candidate-56d28813df47d35a	RECAP docket document 'Doe v. Estate of Jeffrey Epstein - Complaint' is available with filing date 2026-01-22.	procedural	CourtListener RECAP	2026-01-22	pending_review	0.66	court_and_litigation	doc-recap-db2c7f606478	https://www.courtlistener.com/docket/72177563/1/doe-v-estate-of-jeffrey-epstein/	Primary PACER/RECAP docket record
20260215T171141Z	candidate-2344d9697a621478	DOJ OPA published 'Department of Justice publishes 3.5 million responsive pages in compliance with Epstein files law' on 2026-01-30.	procedural	DOJ OPA	2026-01-30	pending_review	0.80	doj_release_operations	doc-doj-opa-35m-pages	https://www.justice.gov/opa/pr/department-justice-publishes-35-million-responsive-pages-compliance-epstein-files	Primary agency release record
20260215T171141Z	candidate-f580f97b471bf22d	House Judiciary hearing 'Oversight of the U.S. Department of Justice' was held on 2026-02-11.	timeline	House Judiciary Committee	2026-02-11	pending_review	0.82	congressional_oversight	doc-house-hearing-oversight-doj-2026	https://judiciary.house.gov/committee-activity/hearings/oversight-us-department-justice-5	Primary hearing record
20260215T171141Z	candidate-175dc102a9166774	Congressional Record entry 'SENATE RESOLUTION 608--EXPRESSING THE SENSE OF THE SENATE THAT GHISLAINE MAXWELL SHOULD NOT BE GRANTED A PRESIDENTIAL PARDON OR ANY FORM OF CLEMENCY FOR HER CRIMES WITH JEFFREY EPSTEIN RELATING TO...' appears with date 2026-02-12.	timeline	US Congress	2026-02-12	pending_review	0.70	clemency_and_pardon	doc-govinfo-transcript-f78a7e0b748b	https://www.govinfo.gov/content/pkg/CREC-2026-02-12/html/CREC-2026-02-12-pt1-PgS613.htm	Primary congressional transcript
