run_utc	dataset_number	dataset_url	pages_fetched	file_count	http_error_count	http_error_samples	first_file_url	last_file_url	status
20260217T053819Z	1	https://www.justice.gov/epstein/doj-disclosures/data-set-1-files	14	50	11	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-1-files&text=Data Set 1 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-1-files&title=Data Set 1 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-1-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-1-files?page=2; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-1-files?page=3	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000001.pdf	https://www.justice.gov/epstein/files/DataSet%201/EFTA00000050.pdf	warn
20260217T053819Z	2	https://www.justice.gov/epstein/doj-disclosures/data-set-2-files	14	49	11	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-2-files&text=Data Set 2 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-2-files&title=Data Set 2 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-2-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-2-files?page=2; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-2-files?page=3	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003159.pdf	https://www.justice.gov/epstein/files/DataSet%202/EFTA00003207.pdf	warn
20260217T053819Z	3	https://www.justice.gov/epstein/doj-disclosures/data-set-3-files	6	49	3	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-3-files&text=Data Set 3 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-3-files&title=Data Set 3 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-3-files?page=1	https://www.justice.gov/epstein/files/DataSet%203/EFTA00003858.pdf	https://www.justice.gov/epstein/files/DataSet%203/EFTA00005284.pdf	warn
20260217T053819Z	4	https://www.justice.gov/epstein/doj-disclosures/data-set-4-files	8	49	5	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-4-files&text=Data Set 4 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-4-files&title=Data Set 4 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-4-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-4-files?page=2; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-4-files?page=3	https://www.justice.gov/epstein/files/DataSet%204/EFTA00005705.pdf	https://www.justice.gov/epstein/files/DataSet%204/EFTA00006371.pdf	warn
20260217T053819Z	5	https://www.justice.gov/epstein/doj-disclosures/data-set-5-files	7	49	4	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-5-files&text=Data Set 5 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-5-files&title=Data Set 5 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-5-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-5-files?page=2	https://www.justice.gov/epstein/files/DataSet%205/EFTA00008409.pdf	https://www.justice.gov/epstein/files/DataSet%205/EFTA00008457.pdf	warn
20260217T053819Z	6	https://www.justice.gov/epstein/doj-disclosures/data-set-6-files	4	12	2	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-6-files&text=Data Set 6 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-6-files&title=Data Set 6 Files	https://www.justice.gov/epstein/files/DataSet%206/EFTA00008585.pdf	https://www.justice.gov/epstein/files/DataSet%206/EFTA00008998.pdf	warn
20260217T053819Z	7	https://www.justice.gov/epstein/doj-disclosures/data-set-7-files	4	17	2	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-7-files&text=Data Set 7 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-7-files&title=Data Set 7 Files	https://www.justice.gov/epstein/files/DataSet%207/EFTA00009016.pdf	https://www.justice.gov/epstein/files/DataSet%207/EFTA00009664.pdf	warn
20260217T053819Z	8	https://www.justice.gov/epstein/doj-disclosures/data-set-8-files	14	49	11	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-8-files&text=Data Set 8 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-8-files&title=Data Set 8 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-8-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-8-files?page=2; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-8-files?page=3	https://www.justice.gov/epstein/files/DataSet%208/EFTA00009676.pdf	https://www.justice.gov/epstein/files/DataSet%208/EFTA00009890.pdf	warn
20260217T053819Z	9	https://www.justice.gov/epstein/doj-disclosures/data-set-9-files	14	50	11	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-9-files&text=Data Set 9 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-9-files&title=Data Set 9 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=2; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-9-files?page=3	https://www.justice.gov/epstein/files/DataSet%209/EFTA00039025.pdf	https://www.justice.gov/epstein/files/DataSet%209/EFTA00039882.pdf	warn
20260217T053819Z	10	https://www.justice.gov/epstein/doj-disclosures/data-set-10-files	14	50	11	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-10-files&text=Data Set 10 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-10-files&title=Data Set 10 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-10-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-10-files?page=2; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-10-files?page=3	https://www.justice.gov/epstein/files/DataSet%2010/EFTA01262782.pdf	https://www.justice.gov/epstein/files/DataSet%2010/EFTA01264397.pdf	warn
20260217T053819Z	11	https://www.justice.gov/epstein/doj-disclosures/data-set-11-files	14	50	11	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-11-files&text=Data Set 11 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-11-files&title=Data Set 11 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-11-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-11-files?page=2; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-11-files?page=3	https://www.justice.gov/epstein/files/DataSet%2011/EFTA02205655.pdf	https://www.justice.gov/epstein/files/DataSet%2011/EFTA02212968.pdf	warn
20260217T053819Z	12	https://www.justice.gov/epstein/doj-disclosures/data-set-12-files	7	50	4	0:http://twitter.com/intent/tweet?url=https://www.justice.gov/epstein/doj-disclosures/data-set-12-files&text=Data Set 12 Files; 0:http://www.linkedin.com/shareArticle?mini=true&url=https://www.justice.gov/epstein/doj-disclosures/data-set-12-files&title=Data Set 12 Files; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-12-files?page=1; 403:https://www.justice.gov/epstein/doj-disclosures/data-set-12-files?page=2	https://www.justice.gov/epstein/files/DataSet%2012/EFTA02730265.pdf	https://www.justice.gov/epstein/files/DataSet%2012/EFTA02731498.pdf	warn
